Number,Start charge counter,End charge counter,Delta charge counter
1,4344000,4258000,-86000
2,4358000,4274000,-84000
3,4412000,4320000,-92000
4,4398000,4304000,-94000
5,4426000,4332000,-94000
6,4412000,4312000,-100000
7,4420000,4318000,-102000
8,4432000,4328000,-104000
9,4428000,4324000,-104000
10,4462000,4354000,-108000
