Number,Start charge counter,End charge counter,Delta charge counter
1,4456000,4346000,-110000
2,4388000,4310000,-78000
3,4346000,4262000,-84000
4,4378000,4296000,-82000
5,4358000,4268000,-90000
6,4390000,4300000,-90000
7,4378000,4300000,-78000
8,4344000,4262000,-82000
9,4340000,4254000,-86000
10,4344000,4258000,-86000
