Number,Start charge counter,End charge counter,Delta charge counter
1,4326000,4244000,-82000
2,4442000,4348000,-94000
3,4416000,4330000,-86000
4,4348000,4252000,-96000
5,4344000,4246000,-98000
6,4388000,4288000,-100000
7,4346000,4242000,-104000
8,4344000,4238000,-106000
9,4346000,4240000,-106000
10,4454000,4348000,-106000
