Number,Start charge counter,End charge counter,Delta charge counter
1,4420000,4356000,-64000
2,4456000,4402000,-54000
3,4428000,4362000,-66000
4,4324000,4252000,-72000
5,4342000,4286000,-56000
6,4358000,4298000,-60000
7,4436000,4374000,-62000
8,4346000,4286000,-60000
9,4306000,4252000,-54000
10,4448000,4376000,-72000
